id,judul_laporan,tanggal_kejadian,alamat,kelurahan_desa,kecamatan,kab_kota,provinsi,keterangan,kategori,status
00127,Melanggar Masa Tenang,2014-08-04 17:42,"Jalan Doktor Setia Budi, Pamulang, South Tangerang City, Banten 15417, Indonesia",,Pamulang,Tangerang Selatan,Banten,"Telah ditemukan pelanggaran oleh caleg DPRD Kota Tangsel bernama Victor Siahaan nomor urut 2 untuk dapil VI Kec. Pamulang dari PKP Indonesia.\n\nTemuan pelanggaran masa tenang adalah sebuah poster pada tiang listrik di jalan Doktor Setia Budi, Pamulang tangerang Selatan.\n\nPelanggaran tersebut masih ditemukan dan belum ada tindakan pada 8 April 2014.",Dugaan Pelanggaran Administratif,
00128,Kampanye Partai di RCTI,2014-09-04 00:26,"South Jakarta, South Jakarta City, Jakarta, Indonesia",,,,Jakarta,"Di salah satu stasiun televisi jaringan yaitu RCTI terdapat program acara bernama Mewujudkan Mimpi Indonesia.\n\nAcara ini berisi tentang kegiatan calon presiden dan calon wakil presiden dari Partai Hanura, Wiranto dan Hary Tanoesudibjo.\n\nAcara ini saya tonton pukul 00.19 WIB, 9 April 2014.",Dugaan Pelanggaran Pidana,
00129,Poster besar di Masa Tenang,2014-08-04 17:35,"Jalan Doktor Setia Budi, Pamulang, South Tangerang City, Banten 15417, Indonesia",,Pamulang,Tangerang Selatan,Banten,"Telah sitemukan pelanggaran yang di lakukan oleh caleg DPRD Kota Tangerang Selatan, Iwan Rahayu nomor urut 1 dapil VI Pamulang dari Partai PDI Perjuangan.\n\nTemuan pelanggaran berupa poster di jalan Doktor Setia Budi, setelah perempatan Gamplek Pamulang, Tangerang Selatan.\n\nPelanggaran tersebut masih ditemukan dan belum ada tindakan pada 8 April 2014.",Dugaan Pelanggaran Administratif,
00130,Alat Peraga Masih Terlihat di Masa Tenang,2014-09-04 16:45,"Jalan Cabe Raya, Pamulang, South Tangerang City, Banten 15418, Indonesia",,Pamulang,Tangerang Selatan,Banten,"Telah ditemukan Pelanggaran oleh caleg DPR RI dengan nama Hermawi F. Taslim, SH nomor urut 4 dapil Banten III dan Caleg DPRD Tangerang Selatan dengan nama Fahri, SH. MH. MM nomor urut 10 Dapil Pamulang VI dari Partai NasDem, caleg DPR RI: Indra, SH nomor urut 4 dapil Banten III dari PKS, dan caleg DPR RI: Yudi Frianto, SH nomor urut 10 dapil Banten III dari Partai NasDem.\n\nTemuan pelanggaran berupa poster terpampang pada masa tenang ini pada sebuah tiang telepon dan pohon palem di depan sebuah Ruko di jalan Cabe Raya, Pondok Cabe, Pamulang. Tangerang Selatan.\n\nPelanggaran tersebut masih ditemukan dan belum ada tindakan pada tanggal 9 April 2014.",Dugaan Pelanggaran Administratif,
00131,Bersama Melakukan Pelanggaran,2014-08-04 17:42,"Jalan Doktor Setia Budi, Pamulang, South Tangerang City, Banten 15417, Indonesia",,Pamulang,Tangerang Selatan,Banten,"Telah ditemukan pelanggaran secara bersamaan oleh caleg DPRD Prov. Banten N. Veri Muhlis Arifuzzaman, S.AG., M.Si nomor urut 2 dari Partai Gorkar, caleg DPRD Tangsel Taufik Hidayat. UA nomor urut 5 dari PAN, caleg DPR RI M. Ali Taher nomor urut 1 dari PAN.\n\nTemuan pelanggaran bersama itu berupa poster di tiang telpon pada saat masa tenang.\n\nTemuan tersebut berada di jalan Doktor Setia Budi, Pamulang, Tangsel.\n\nPelanggaran tersebut masih ditemukan dan belum ada tindakan pada 8 April 2014.",Dugaan Pelanggaran Administratif,
00132,Saling Berbagi Pelanggaran di Masa Tenang,2014-08-04 17:29,"Jalan Doktor Setia Budi, Pamulang, South Tangerang City, Banten 15417, Indonesia",,Pamulang,Tangerang Selatan,Banten,"Telah ditemukan pelanggaran oleh caleg M. Ali Taher caleg DPR RI dapil Banten III nomor urut 1 dari PAN dan caleg Ir. Sufmi Dasco Ahmad caleg DPR RI dapil Banten III nomor urut 1 serta caleg Nona Gayatri Nasution, S.Si caleg DPRD Kota Tangsel VI nomor urut 2 dari partai GERINDA.\n\nMereka telah berbagi pelanggaran dengan memasang alat peraga bersama pada sebuah tiang telpon pada masa tenang di jalan Doktor Setia Budi, Pamulang.\n\nPelanggaran tersebut masih ditemukan dan belum ada tindakan pada 8 April 2014.",Dugaan Pelanggaran Administratif,
00133,Masa tenang masih di tembok,2014-08-04 17:25,"Jalan Cabe Raya, Pamulang, South Tangerang City, Banten 15418, Indonesia",,Pamulang,Tangerang Selatan,Banten,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh M. Ali Taher, caleg DPR RI nomor urut 1 dari PAN dapil Banten III.\n\nTemuan pelanggaran tersebut berupa poster dan bendera partai di sebuah tembok di Jalan Cabe Raya, Pamulang, South Tangerang City, Banten 15418, Indonesia.\n\nDugaan pelanggaran berupa masih adanya alat peraga di masa tenang.\n\nPelanggaran tersebut masih ditemukan dan belum ada tindakan oleh aparat sampai dengan tanggal 8 April 2014.",Dugaan Pelanggaran Administratif,
00134,Spanduk di UD.RUDI SANJAYA,2014-08-04 17:27,"Jalan Cabe Raya, Pamulang, South Tangerang City, Banten 15418, Indonesia",,Pamulang,Tangerang Selatan,Banten,"Telah ditemukan dugaan pelanggaran oleh H. Inas Nasrullah Zubir BE, SE, caleg DPR RI dapil Banten III dan Nurul Hayati, caleg DPRD Kota Tangerang Selatan.\n\nDugaan pelanggaran berupa masih adanya alat peraga di masa tenang yang berada di sebuah toko jual beli besi tua UD. RUDI SANJAYA di Jalan Cabe Raya, Pamulang, South Tangerang City, Banten 15418, Indonesia.\n\nSampai dengan 8 April 2014 atau di masa tenang, pelanggaran tersebut masih ditemukan dan belum ada tindakan.",Dugaan Pelanggaran Administratif,
00135,Baliho Puan di hari tenang,2014-08-04 22:05,"Prambanan, Klaten, Central Java, Indonesia",,Prambanan,Klaten,Jawa Tengah,Hari tenang Pemilu hari kedua 8/4/2014.\nDi pertigaan lampu merah candi Prambanan Kab. Klaten masih terpasang APK berupa baliho dari Partai PDIP.\n\nPadahal di baliho tersebut jelas terlihat ada lambang partai PDIP serta Puan Maharani sebagai caleg DPR Pusat.\n\nSedangkan APK dari partai/caleg yang lain sudah dibersihkan semua.\n\nApakah hal ini ada faktor kesengajaan?\n(di baliho tersebut juga ada foto Bupati Klaten dan anaknya yang masih kecil).,Dugaan Pelanggaran Administratif,
00136,Kampanye Lewat SMS di Masa Tenang,2014-08-04 18:35,di perjalanan pulang dari salah satu kedai kopi di Bintaro,,Bintaro,Tangerang Selatan,Banten,"Saya dikirimi SMS dari nomor +6281321038706\nyang berisi detail caleg Mohammad Arief Firmansyah, Caleg DPRD Provinsi Jawa Barat No. Urut 5, dari Partai Hanura, Dapil Depok dan Bekasi.\n\nSaya lampirkan tautan berupa screenshot yang menggambarkan detail SMS tersebut.",Dugaan Pelanggaran Pidana,
00137,"Poster Togu, Caleg DPD Masih Terpasang di Minggu Tenang",2014-08-04 16:38,Jalan Doktor Setia Budi,,Pamulang,Tangerang Selatan,Banten,"Telah ditemukan pelanggaran di minggu tenang yang dilakukan oleh calon legislatif DPD RI Propinsi Banten nomor urut 26, Ir. Togu Pardamean Tobing,M.Si berupa poster di sejumlah titik di sepanjang Jalan Dokter Setia Budi, Pamulang. Pelanggaran tersebut masih ditemukan dan belum ada tindakan.",Dugaan Pelanggaran Administratif,
00138,Wanto Sugito Tetap Mejeng di Minggu Tenang,2014-08-04 16:43,Cirendeu,,Cirendeu,Tangerang Selatan,Banten,Telah ditemukan dugaan pelanggaran di minggu tenang pada 8 April 2014 pukul 16.00 wib yang di lakukan oleh calon legislatif DPR RI dapil Banten III bernama Wanto Sugito. Temuan pelanggaran tersebut berupa poster di sejumlah tiang listrik dan tiang telepon sepanjang Jalan Cirendeu Raya. Pelanggaran ini masih ditemukan dan belum ada tindakan tegas dari KPU atau Bawaslu.,Dugaan Pelanggaran Administratif,
00139,"Masa tenang, Nasdem Masih Kampanye",2014-08-04 20:37,"Surakarta, Surakarta City, Central Java, Indonesia",,,Surakarta,Jawa Tengah,"Telah ditemukan dugaan pelanggaran kampanye di masa tenang, satu hari sebelum penyelanggaraan pemilu oleh akun twitter @nasdem_jateng.",Dugaan Pelanggaran Pidana,
00140,"Minggu Tenang, Poster Caleg Masih Terpampang",2014-08-04 20:20,Pondok Cabe,,Pondok Cabe,Tangerang Selatan,Banten,"Telah ditemukan dugaan pelanggaran di minggu tenang pada 8 april 2014 pukul 16.00 wib yang dilakukan oleh calon legislatif bernama Indra, SH caleg DPR RI nomor urur 4 dari PKS untuk dapil Kabupaten Tangerang, Kota Tangerang dan Tangerang Selatan.\n\nTemuan pelanggaran berupa poster di sejumlah tiang listrik dan tiang telepon di sepanjang jalan dari pertigaan Lebak Bulus menuju Cirende, Pondok Cabe, sampai perempatan Gaplek, Pamulang. Pelanggaran tersebut masih ditemukan dan belum ada tindakan",Dugaan Pelanggaran Administratif,
00141,Caleg Demokrat membagi brosur di masa tenang,2014-08-04 19:09,"jakarta selatan,, kecamatan pesangrahan kelurahan petukangan utara rt 08/10",Petukangan,Pesanggrahan,,Jakarta,"Saya warga Jakarta Selatan khususnya tinggal di kecamatan Pesangrahan, Kelurahan Petukangan Utara. Kemarin sore, saya sedang duduk santai di depan rumah, tiba-tiba datang seorang yang menyatakan dari pengurus masjid di tempat tinggal saya. Dia memberikan selebaran kertas yang berisikan contoh surat suara Pemilu 2014, nama caleg dari partai Demokrat no. urut 5, dengan nama caleg H.SASTRAWIRA . SE. Alasan pembawa selebara si caleg ""telah banyak kontribusi di tempat ibadah di tempat tinggal saya"". Tapi yang jadi permasalahannya, kenapa selebaran ini dibagikan saat masa tenang H-2 pemilu. Bukankah ini pelanggaran kampanye di masa tenang. Mohon ditindak lanjuti. Terimakasih",Dugaan Pelanggaran Administratif,
00142,Kampanye Win-HT di Masa Tenang,2014-08-04 16:59,di Global TV,,,,,"Hari ini 8 April 2014, sekitar pukul 16.59 wib di Global TV masih ada iklan yang memperlihatkan salah satu calon presiden dan calon wakil presiden yaitu Win-HT. Padahal hari ini merupakan masa tenang, tidak boleh ada kampanye atau atribut kampaye yang masih beredar. Ini adalah dugaan pelanggaran yang harus ditindak tegas.",Dugaan pelanggaran Pidana,
00143,Kampanye SMS di Masa Tenang,2014-08-04 13:26,"Sleman, Yogyakarta",,,Sleman,DI Yogyakarta,"Ditemukan dugaan pelanggaran yakni kampanye dalam bentuk pesan singkat / SMS pada masa tenang. Kejadi berlangsung pada 8 April 2014 pukul 13.13 WIB. SMS dikirimkan oleh nomor +6285799755602\n\nIsi SMS sebagai berikut: ""Salam 5 jari, Ojo lali tgl 9 April 2014. Coblos Bocahe Dewe, Caleg DPR RI (PUSAT) dari NasDem No Urut 5. Henky Prasetyo Soemitro SH MSi. Matur Nuwun.""\n\nHarus ada tindakan tegas untuk dugaan pelanggaran ini.",Dugaan Tindak Pidana Pemilu,
00144,Bendera PAN di Masa Tenang,2014-08-04 12:27,"Jalan Puri Margasatwa Barat, Cilandak, Jakarta, Indonesia",Cilandak,Pasar Minggu,,Jakarta,Ditemukan empat bendera Partai PAN di atas pohon dari perempatan Ragunan menuju Gedung Trakindo di Jalan T. B. Simatupang. Seharusnya semua bendera partai sudah diturunkan di masa tenang. Ini adalah bentuk pelanggaran pemilu dan harus ditindak tegas.,Dugaan Pelanggaran Administratif,
00145,Baliho PAN Masih Bertengger di Masa Tenang,2014-08-04 09:53,"Jalan Warung Jati Barat, Mampang Prapatan, Jakarta, Indonesia",Buncit,Pasar Minggu,,Jakarta,Hari ini 8 april 2014 masih ditemukan baliho Parati PAN di Jalam Mampang Prapatan. Ini adalah dugaan pelanggaran karena bekampanye di masa tenang,Dugaan Pelanggaran Administratif,
00146,Politik Uang di Kudus,2014-08-04 11:44,Kudus,,,Kudus,Jawa Tengah,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh caleg DPRD dapil Kabupaten Kudus 2 (Kecamatan Bae, Kecamatan Mejobo dan Kecamatan Undaan) dari Partai PKS nomer urut 1.Dugaan pelanggaran tersebut berupa usaha pendataan pemilih oleh para sabet atau tim sukses yang dijanjikan akan diberi uang sebesar Rp 25.000,00 apabila memilih caleg tersebut.\n\nPelanggaran ditemukan di Desa Bae dan Desa Purworejo, Kabupaten Kudus, Propinsi Jawa Tengah. Hingga hari ini kabar pendataan warga masih hangat dibicarakan dan diduga uang tersebut akan dibagikan malam ini atau esok fajar sebelum pemungutan suara dilaksanakan.\n\nYang membuat saya sebagai pelapor merasa resah adalah banyaknya pengakuan warga yang hanya ingin mencoblos caleg yang memberikan uang paling banyak. Saya harap kedepannya KPU memberikan sosialisasi untuk membuka pikiran warga di lingkungan saya agar tidak materialistis.",Dugaan Tindak Pidana Pemilu,
00147,Dugaan Pelanggaran Politik Uang,2014-07-04 17:00,"Ciamis, West Java, Indonesia",,,Ciamis,Jawa Barat,"di temukan dugaan pelanggaran pemiu tahun 2014 dari Partai Amanat Nasional dapil Rancah Rajadesa TambakSari, Sukadana, Cisaga, Jatinaga.\n\nDugaan pelanggaran dilakukan oleh Eson Suryadi, ST, MM. nomor urut 5.\n\nDugaan pelanggaran berupa pembagian uang sebesar Rp 10.000 di Dusun Sukamaju Desa Cileungsir Rt 14 Rw 26 Kecamatan Rancah Kabupaten ciamis\n\nDugaan pelanggaran terjadi pada tanggal 7 April 2014.",Dugaan Tindak Pidana Pemilu,
00148,Caleg Golkarm Melakukan Money Politic,2014-07-04 18:46,"gempol rt:03/08,mertan,bendosari,sukoharjo",Gempol Mertan,Bendosari,Sukoharjo,Jawa Tengah,"Telah terjadi money politic oleh Partai Golkar dengan nama caleg Endang Srikanti Handayani, SH,M.Hum, nomor urut 8 dapil V Jawa Tengah di Desa Gempol RT 03/08, Mertan, Bendosari Sukoharjo pada tanggal 7 april 2014 18.00 wib. Saya melihat sendiri nenek saya diberi sejumlah uang untuk memilih caleg ini.",Dugaan Pelanggaran Pidana Pemilu,
00149,"Caleg PKB, Drs. Tobaroni",2014-04-09 12:00,"Pohon perumahan Gria, Pamulang, Tanggerang Selatan",,Pamulang,Tangerang Selatan,Banten,Poster dari caleg partai Hanura tersebut persis tepampang di atas poster kampanye dari partai PKB bernama Drs. H. Tobaroni.,Dugaan Pelanggaran Pidana,
00150,Partai Gerakan Indonesia Raya (Partai Gerindra),2014-04-09 12:00,Jaringan Sosial Media Facebook Milik Prabowo Subianto,,,,,"Pelanggaran dilakukan oleh Capres Prabowo Subianto dengan cara memasang Cover Picture bertuliskan ""COBLOS NOMOR.6 PRABOWO PRESIDEN"". Pemasangan ini dilakukan pada masa tenang",Dugaan Pelanggaran Pidana,
00151,Fahira Idris (Caleg DPD RI No. 11 Dapil DKI Jakarta),2014-04-09 12:00,Jaringan Telekomunikasi vis SMS dan BBM,,,,,"Fahira Idris, Caleg DPD RI no.11 Dapil DKI Jakarta masih berkampanye melalui SMS dan broadcast BBM selama 2 hari terakhir sampai pagi hari ini pukul 07.42. Saya masih simpan BBM dan SMS nya. Semoga bisa ditindak lanjuti.",Dugaan Pelanggaran Pidana,
00152,"Partai Hanura, Partai Demokrat, dan PKS",2014-04-09 12:00,"Bambu Apus, Pamulang, Tanggerang Selatan",Bambu Apus,Pamulang,Tangerang Selatan,Banten,"Masih terpampang banyak poster dari berbagai partai untuk mengampanyekan diri para caleg. Partai tersebut terdiri dari Hanura, Demokrat, dan PKS. Kebijakannya, seharusnya atribut-atribut yang dipakai untuk kampanye tersebut tidak boleh di pasang di mana pun sejak masa tenang, 7 April 2014. Namun, beberapa partai masih saja melanggar dengan adanya pemasangan poster di daerah Bambu Apus, Tangerang Selatan ini.",Dugaan Pelanggaran Pidana,
00153,Partai PKS dan PKB,2014-04-09 12:00,"Jalan Cipinang Jaya IIE, Kelurahan Cipinang Besar Selatan, Kecamatan Jatinegara, Jakarta Timur",Cipinang Besar Selatan,Jatinegara,,Jakarta,"Di hari pemilihan umum atau pada 9 April 2014, bendera-bendera dari PKS dan PKB masih berkibar tinggi di tiang-tiang listrik sepanjang Jalan Cipinang Jaya IIE, Kelurahan Cipinang Besar Selatan, Kecamatan Jatinegara, Jakarta Timur",Dugaan Pelanggaran Pidana,
00154,KPPS TPS RT.005 RW.03 Cengkareng Barat,2014-04-09 12:00,RT.005 RW.03 Cengkareng Barat,Cengkareng Barat,Cengkareng,,Jakarta,"Hak pilih saya ditolak. Saya ber-KTP Jaksel dan ibu ber-KTP Jakpus. Saya dan ibu ditolak oleh petugas di TPS 17, tempat saya tinggal. Saya tinggal di RT.005 RW.03 Cengkareng Barat. Alasan penolakan adalah tidak terdaftar. Padahal saya memiliki KTP DKI. Petugas bersikukuh bahwa kami bisa menggunakan hak pilih sesuai dengan domisili di KTP. Jelas, ibu saya sudah ber KTP sesuai TPS. Selain itu, saya sudah tinggal di situ sudah lebih dari 4 tahun, hanya saja KTP saya masih Jakarta Selatan",Dugaan Pelanggaran Pidana,
00155,"KPPS TPS 26 Cipedak gang Family, Jagakarsa, Jakarta Selatan",2014-04-09 12:00,"PS 26 Cipedak gang Family, Jagakarsa Jaksel",Cipedak,Jagakarsa,,Jakarta,"Adek saya masih terdaftar di kartu keluarga ibu bapak dan KTP juga masih tetap sama tidak berubah, tetapi dia tidak mendapat surat undangan untuk mencoblos. Saya dapat info bahwa bisa mencoblos jika membawa poto copy KTP dan KK, tetapi setelah datang ke TPS 26 Cipedak gang Family, Jagakarsa Jaksel, ditolak dan katanya harus ke kelurahan. Apakah ini salah panitia pemilu yang tidak mencatatkan adek saya sebagai pemilih. Dan bagaimana solusinya jika seperti ini? Berarti tergantung perorangan si pencatat jika seseorang bisa mengikuti pemilu atau tidak, bukan hak tiap warga negara yang sudah memenuhi syarat untuk memilih.",Dugaan Pelanggaran Pidana,
00156,"KPPS TPS 61 Kelurahan Koperapoke, Kecamatan Mimika Baru, Kabupaten Mimika-Timika, Papua",2014-04-09 12:00,"TPS 61 kelurahan koperapoke, kecamatan Mimika baru, Kabupaten Mimika-Timika, Papua",Koperapoke,Mimika Baru,Mimika-Timika,Papua,"Saya ditolak panitia di TPS karena tidak mendapat undangan, meski saya telah menunjukkan KTP. Padahal saya sudah terdaftar sebagai DPT KPU. Alasan Ketua TPS, dia tidak mengerti internet. Akhirnya saya kehilangan hak pilih. Inikah pesta demokrasi pemilu? Pemilihan sekarang sangat kacau",Dugaan Pelanggaran Pemilu,
00157,PDI P,2014-04-09 12:00,"Kawasan dan beberapa titik di Tanggerang Selatan, Banten.",,,Tangerang Selatan,Banten,"Rupanya PDI-P masih terindikasi melakukan dugaan pelanggaran kampanye. Hal tersebut dikarenakan masih banyaknya poster kampanye untuk caleg DPRD Kota Tngerang Selatan. Terlihat satu poster untuk caleg bernama Iwan Rahayu terpasang di tiang listrik dan dua poster dari partai yang sama, PDI-P dipasang bersebelahan. Pemasangan tersebut ditemukan di Pamulang, Tangerang Selatan. Dalam aturan yang ada, semua alat peraga seharusnya sudah dicopot di masa tenang dan hari pencoblosan. Namun sampai dengan tanggal 9 April 2014 alat peraga ini masih saja terpasang.",Dugaan Pelanggaran Pidana,
00158,PDI P,2014-04-09 12:00,"Perumahan AX di Jl. Pamulang Permai, Pamulang, Tanggerang Selatan",,Pamulang,Tangerang Selatan,Banten,"Ditemukan dugaan pelanggaran pemilu yang dilakukan oleh PDI-P. Pelanggaran tersebut berupa pemasangan poster yang terpasang di pohon pada masa tenang dan hari pencoblosan. Poster dapat ditemukan di Pamulang, Tangerang Selatan. Saat memasuki portal Perumahan AX di Jl. Pamulang Permai, dapat terlihat poster yang dimaksud di sebelah kanan. Sampai tanggal 9 April 2014 alat peraga tersebut masih terpasang",Dugaan Pelanggaran Pidana,
00159,Caleg PKS Kota Tanggerang Nomor Urut 3,2014-04-09 12:00,"Perumahan Griya Jakarta, Pamulang, Tangerang Selatan",,Pamulang,Tangerang Selatan,Banten,"Poster caleg DPRD Kota Tangerang Selatan dari PKS dengan nomor urut 3 masing terlihat di Perumahan Griya Jakarta, Pamulang, Tangerang Selatan",Dugaan Pelanggaran Pidana,
00160,"Caleg DPRD Kota Tenggerang Selatan Dapil 6, Partai Demokrat",2014-04-09 12:00,"Perumahan di Jl. Pamulang Permai Blok AX . Pamulang, Tangerang Selatan",,Pamulang,Tangerang Selatan,Banten,Caleg DPRD Kota Tangerang Selatan Dapil 6 dari Partai Demokrat memohon doa dan dukungan warga lewat poster,Dugaan Pelanggaran Pidana,
00161,"H. Al Mansyur, SE, MM, Caleg PAN Dapil Pamulang No. urut 1",2014-04-09 12:00,"Daerah Pamulang, Tanggerang, Banten",,Pamulang,Tangerang Selatan,Banten,"Ditemukan dugaan pelanggaran yang dilakukan oleh H. Al masyur, SE. MM, caleg dari PAN dapil pamulang nomor urut 1 yang mempunyai semboyan Indahnya Mengabdi Tanpa Korupsi",Dugaan Pelanggaran Pidana,
00162,"Ir. Franklin Caleg DPRD, Prov. Banten dapil Tangsel, PDI Perjuangan",2014-04-09 12:00,"Daerah Pamulang, Tanggerang, Banten",,Pamulang,Tangerang Selatan,Banten,"Ditemukan dugaan pelanggaran pemilu oleh Ir Franklin, Caleg DPRD Provinsi Banten Dapil Tangerang Selatan dari PDI Perjuangan",Dugaan Pelanggaran Pidana,
00163,Caleg Partai Gerindra No. 2 DPR Dapil Tanggeran Selatan,2014-04-09 12:00,"Belakang superindo Pamulang, Tanggerang, Banten",,Pamulang,Tangerang Selatan,Banten,"Telah ditemukan dugaan pelanggaran yan dilakukan oleh Partai Gerindra. Sampai hari ini poster kampanye untuk caleg DPR bernomor urut 2 masih terpasang di Kota Tangerang Selatan, tepatnya di belakang superindo Pamulang, Padahal, poster dan segala bentuk atribut kampanye dari semua partai sudah harus dilepas sejak masa tenang",Dugaan Pelanggaran Pidana,
00164,"KPPS TPS 26 dan 27 Kelurahan Batu Ampar, Kecamatan Kramat Jati Jakarta Timur",2014-04-09 12:00,"TPS 26 dan TPS 27, Kelurahan Batu Ampar, Kecamatan Kramat Jati Jakarta Timur",Batu Ampar,Kramat Jati,,Jakarta,Saya ingin melaporkan salah satu kecurangan yang dilakukan oleh Panitia Penyelenggara Pemungutan Suara (PPS). Ternyata panitia pemungutan suara itu di bayar oleh salah satu calon anggota legislatif untuk memilih calon anggota legislatifnya. Tolong Bawaslu menindak lanjuti permasalahan ini supaya tidak ada lagi kecurangan dimasa pemilu,Dugaan Pelanggaran Pidana,
00165,Partai Gerindra,2014-04-09 12:00,"Perumahan Dasana Indah Blok SG 2 / 17, Bonang - Tangerang",,Bonang,Tangerang,Banten,"Stiker Caleg dari Gerinda ini masih setia nangkring di tiang listrik. Padahal, hari ini, Rabu, 9 April 2014 berlangsung Pemilu Legislatif. Seharusnya, alat kiampanye ini sudah dicopot sejak 3 hari yang lalu. Dugaan pelanggaran ini ditemukan di dekat Perumahan Dasana Indah Blok SG 2 / 17, Bonang - Tangerang",Dugaan Pelanggara Pidana,
00166,Partai Keadilan Sejahtera,2014-04-09 12:00,Ds. Pabedilan Wetan Kec. Pabedilan Kab. Cirebon,Pabedilan Wetan,Pabedilan,Cirebon,Jawa Barat,"Di desa saya terjadi sebuah pelanggaran dimana Kepala Desa mengumpulkan Ketua RT untuk memilih PKS. Setiap Ketua RT diberi uang kurang lebih Rp 50.000-, untuk dibagi - bagikan kepada warga. Ini terjadi bukan hanya di desa saya tetapi di beberapa desa di Kota Cirebon. Saya berharap masalah ini dapat tindak lanjuti. Sehingga kedepannya Pemilu di Indonesia dapat bersih dari Politik Uang.",Dugaan Pelanggaran Pidana,
00167,Partai Demokrat,2014-04-09 12:00,"Perumahan Dasana Indah Blok SG 2 / 17, Bonang - Tangerang",,Bonang,Tangerang,Banten,"Stiker Caleg Demokrat ini masih setia nangkring di tiang listrik. Padahal, hari ini berlangsung Pemilu Legislatif. Seharusnya, alat kiampanye ini sudah dicopot sejak 3 hari yang lalu. Dugaan pelanggaran ini ditemukan di dekat Perumahan Dasana Indah Blok SG 2 / 17, Bonang - Tangerang",Dugaan Pelanggaran Pidana,
00168,Partai Amanat Nasional (PAN),2014-04-09 12:00,"Jalan Perum Bonang Permai, Pasar Kemis, Tangerang, Banten 15560",,Pasar Kemis,Tangerang,Banten,"Stiker Caleg PAN ini masih setia nangkring di tiang listrik. Padahal, hari ini berlangsung Pemilu Legislatif. Seharusnya, alat kiampanye ini sudah dicopot sejak 3 hari yang lalu. Dugaan pelanggaran ini ditemukan di dekat Perumahan Dasana Indah Blok SG 2 / 17, Bonang - Tangerang",Dugaan Pelanggaran Pidana,
00169,Partai Keadilan Sejahtera (PKS),2014-04-09 12:00,"Jalan Perum Bonang Permai, Pasar Kemis, Tangerang, Banten 15560",,Pasar Kemis,Tangerang,Banten,"Masih ditemukan stiker caleg PKS di tiang listrik ini. Padahal, hari ini (9/4/2014) berlangsung Pemilu Legislatif",Dugaan Pelanggaran Pidana,
00170,Partai Amanat Nasional (PAN),2014-04-09 12:00,"Jalan Perum Bonang Permai, Pasar Kemis, Tangerang, Banten 15560",,Pasar Kemis,Tangerang,Banten,"Alat kampanye dari Caleg PAN ini masih setia nangkring di tiang listrik Padahal, hari ini (9/4/2014) berlangsung Pemilu Legislatif.",Dugaan Pelanggaran Pidana,
00171,PDI P,2014-04-09 12:00,"Jalan Perum Bonang Permai, Pasar Kemis, Tangerang, Banten 15560",,Pasar Kemis,Tangerang,Banten,"Caleg PDI-P ini masih setia nangkring di tiang listrik Padahal, hari ini (9/4/2014) berlangsung Pemilu Legislatif.",Dugaan Pelanggaran Pidana,
00172,Partai Amanat Nasional (PAN),2014-04-09 12:00,"Perumahan Dasana Indah blok sg 2 / 17, Tangerang - Bonang",,Bonang,Tangerang,Banten,"Hari ini Rabu, 9 April 2014 adalah Hari Pencoblosan dalam Pemilu 2014. Seharusnya, baliho Caleg PAN ini sudah tidak ada. Namun, pelapor menemukan masih ada baliho yang terpasang di salah satu tiang listrik yang ada di Perumahan Dasana Indah blok sg 2 / 17, Tangerang - Bonang",Dugaan Pelanggaran Pidana,
00173,"Ketua RT di Perumahan Griya Jakarta, di lapangan RT 02 Kelurahan Pamulang Barat, Tangerang Selatan",2014-04-09 12:00,"Perumahan Griya Jakarta, di lapangan RT 02 Kelurahan Pamulang Barat, Tangerang Selatan",Pamulang Barat,Pamulang,Tangerang Selatan,Banten,"TPS 46 yang berlokasi di belakang Perumahan Griya Jakarta, di lapangan RT 02 Kelurahan Pamulang Barat, Tangerang Selatan, tidak siap. Seharusnya TPS sudah bisa mengadakan pemungutan suara pukul 07.00 WIB, namun sampai pukul 09.00 WIB, TPS tersebut belum bisa menerima warga untuk memilih. Warga juga mengeluhkan, undangan memilih tidak disebarkan oleh Ketua RT. Warga harus datang ke TPS untuk mengambil undangan memilih sekaligus mencoblos saat itu juga. Cara seperti rawan kecurangan, karena warga sekitar merasa tidak diundang sehingga tidak datang mencoblos, lalu kertas suaranya dicoblos oleh Ketua RT",Dugaan Pelanggaran Pidana,
00174,"PKS dan RT di RW.01, Kelurahan Beji Timur, Kecamatan Beji, Kota Depok, Jawa Barat",2014-04-07 12:00,"RT.05 RW. 01 Kelurahan Beji Timur, Kecamatan Beji, Kota Depok, Jawa Barat",Beji Timur,Beji,Depok,Jawa Barat,"Pada hari senin, 7 April 2014 tante saya dan keluarganya mendapat uang sebesar Rp 50.000 per orang yang diberikan oleh seorang ketua RT di RW.01, Kelurahan Beji Timur, Kecamatan Beji, Kota Depok, Jawa Barat. Pemberian uang tersebut secara eksplisit dilakukan oleh ketua RT kepada keluarga tante saya dan warga lainnya di kawasan RT tersebut dengan tujuan mengajak mereka untuk menyoblos Partai Keadilan Sejahtera. Tolong untuk bawaslu segera mengusut kasus ini. Terima kasih",Dugaan Pelanggaran Pidana,
